Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R08/current/855/,SDN:R08::855,NINJA float with no conductivity sensor,855,NINJA profiling float with no conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/849/,SDN:R08::849,APEX-D deep float with SBE conductivity sensor,849,APEX-D profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/860/,SDN:R08::860,NEMO float with SBE conductivity sensor,860,NEMO profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/857/,SDN:R08::857,NINJA float with FSI conductivity sensor,857,NINJA profiling float with Falmouth Scientific Inc. (FSI) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/876/,SDN:R08::876,ALTO float with SBE conductivity sensor,876,ALTO profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2021-02-01 14:29:14.0
http://vocab.nerc.ac.uk/collection/R08/current/839/,SDN:R08::839,PROVOR-II float with SBE conductivity sensor,839,PROVOR-II profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/850/,SDN:R08::850,SOLO float with no conductivity sensor,850,SOLO profiling float with no conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/846/,SDN:R08::846,Teledyne Webb Research float with SBE conductivity sensor,846,Teledyne Webb Research profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/865/,SDN:R08::865,NOVA float with SBE conductivity sensor,865,NOVA profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/840/,SDN:R08::840,PROVOR float with no conductivity sensor,840,PROVOR profiling float with no conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/854/,SDN:R08::854,S2A float with SBE conductivity sensor,854,S2A profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/862/,SDN:R08::862,SOLO-D deep float with SBE conductivity sensor,862,SOLO-D profiling deep float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/856/,SDN:R08::856,NINJA float with SBE conductivity sensor,856,NINJA profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/852/,SDN:R08::852,SOLO float with FSI conductivity sensor,852,SOLO profiling float with Falmouth Scientific Inc. (FSI) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/875/,SDN:R08::875,ALTO float with RBR conductivity sensor,875,ALTO profiling float with RBR conductivity sensor,1,false,2021-02-01 14:29:14.0
http://vocab.nerc.ac.uk/collection/R08/current/845/,SDN:R08::845,Teledyne Webb Research float with no conductivity sensor,845,Teledyne Webb Research profiling float with no conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/842/,SDN:R08::842,PROVOR float with FSI conductivity sensor,842,PROVOR profiling float with Falmouth Scientific Inc. (FSI) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/864/,SDN:R08::864,NINJA-D deep float with SBE conductivity sensor,864,NINJA-D profiling deep float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/853/,SDN:R08::853,SOLO-II float with SBE conductivity sensor,853,SOLO-II profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/844/,SDN:R08::844,ARVOR float with SBE conductivity sensor,844,ARVOR profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/863/,SDN:R08::863,Navis-A float with SBE conductivity sensor,863,Navis-A profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/878/,SDN:R08::878,ARVOR float with RBR conductivity sensor,878,ARVOR profiling float with RBR conductivity sensor,1,false,2021-02-01 14:29:14.0
http://vocab.nerc.ac.uk/collection/R08/current/843/,SDN:R08::843,POPS ice platform using PROVOR float with SBE conductivity sensor,843,Polar Ocean Profiling System (POPS) ice platform using PROVOR profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/858/,SDN:R08::858,NINJA float with TSK conductivity sensor,858,"NINJA profiling float with Tsurumi-Seiki Co., Ltd (TSK) conductivity sensor",1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/861/,SDN:R08::861,NEMO float with FSI conductivity sensor,861,NEMO profiling float with Falmouth Scientific Inc. (FSI) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/859/,SDN:R08::859,NEMO float with no conductivity,859,NEMO profiling float with no conductivity,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/879/,SDN:R08::879,SOLO-II with RBR conductivity sensor,879,SOLO-II profiling float with RBR conductivity sensor,1,false,2021-02-01 14:29:14.0
http://vocab.nerc.ac.uk/collection/R08/current/837/,SDN:R08::837,ARVOR-C float with SBE conductivity sensor,837,ARVOR-C profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/848/,SDN:R08::848,APEX-EM float with SBE conductivity sensor,848,APEX-EM profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/847/,SDN:R08::847,Teledyne Webb Research float with FSI conductivity sensor,847,Teledyne Webb Research profiling float with Falmouth Scientific Inc. (FSI) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/851/,SDN:R08::851,SOLO float with SBE conductivity sensor,851,SOLO profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/877/,SDN:R08::877,APEX float with RBR conductivity sensor,877,APEX profiling float with RBR conductivity sensor,1,false,2021-02-01 14:29:14.0
http://vocab.nerc.ac.uk/collection/R08/current/880/,SDN:R08::880,S2A float with RBR conductivity sensor,880,S2A profiling float with RBR conductivity sensor,1,false,2021-02-01 14:29:14.0
http://vocab.nerc.ac.uk/collection/R08/current/831/,SDN:R08::831,PALACE float,831,PALACE profiling float,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/838/,SDN:R08::838,ARVOR-D deep float with SBE conductivity sensor,838,ARVOR-D deep profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0
http://vocab.nerc.ac.uk/collection/R08/current/841/,SDN:R08::841,PROVOR float with SBE conductivity sensor,841,PROVOR profiling float with Sea-Bird Scientific (SBE) conductivity sensor,1,false,2020-05-03 20:28:54.0

