Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time,Key
http://vocab.nerc.ac.uk/collection/R23/current/S2X/,SDN:R23::S2X,S2X float,S2X,S2X float designed for the US Navy. PLATFORM_TYPE_KEY = 203,1,FALSE,30:02.0,203
http://vocab.nerc.ac.uk/collection/R23/current/NAVIS_A/,SDN:R23::NAVIS_A,NAVIS_A float,NAVIS_A,NAVIS_A float. PLATFORM_TYPE_KEY = 500,1,FALSE,30:02.0,500
http://vocab.nerc.ac.uk/collection/R23/current/HM2000/,SDN:R23::HM2000,HM2000 float,HM2000,HM2000 float. PLATFORM_TYPE_KEY = 700,1,FALSE,30:02.0,700
http://vocab.nerc.ac.uk/collection/R23/current/PROVOR_III/,SDN:R23::PROVOR_III,Dual board PROVOR CTS4 float,PROVOR_III,Dual board PROVOR CTS4 float. PLATFORM_TYPE_KEY = 104,1,FALSE,30:02.0,104
http://vocab.nerc.ac.uk/collection/R23/current/SOLO_II/,SDN:R23::SOLO_II,SIO SOLO-II float,SOLO_II,SOLO-II float manufactured by Scripps Institution of Oceanography (SIO). PLATFORM_TYPE_KEY = 202,1,FALSE,30:02.0,202
http://vocab.nerc.ac.uk/collection/R23/current/FLOAT/,SDN:R23::FLOAT,Unknown platform type,FLOAT,Generic value when platform type unknown. PLATFORM_TYPE_KEY = 999,1,FALSE,30:02.0,999
http://vocab.nerc.ac.uk/collection/R23/current/ARVOR/,SDN:R23::ARVOR,ARVOR float,ARVOR,ARVOR float. PLATFORM_TYPE_KEY = 102,1,FALSE,30:02.0,102
http://vocab.nerc.ac.uk/collection/R23/current/NOVA/,SDN:R23::NOVA,NOVA float,NOVA,NOVA float. PLATFORM_TYPE_KEY = 600,1,FALSE,30:02.0,600
http://vocab.nerc.ac.uk/collection/R23/current/PROVOR_MT/,SDN:R23::PROVOR_MT,Metocean PROVOR float,PROVOR_MT,Metocean PROVOR float. PLATFORM_TYPE_KEY = 100,1,FALSE,30:02.0,100
http://vocab.nerc.ac.uk/collection/R23/current/ALTO/,SDN:R23::ALTO,ALTO float,ALTO,ALTO float. PLATFORM_TYPE_KEY = 205,1,FALSE,30:02.0,205
http://vocab.nerc.ac.uk/collection/R23/current/PROVOR_II/,SDN:R23::PROVOR_II,Dual board PROVOR float,PROVOR_II,Dual board PROVOR float. PLATFORM_TYPE_KEY = 103,1,FALSE,30:02.0,103
http://vocab.nerc.ac.uk/collection/R23/current/APEX/,SDN:R23::APEX,APEX float,APEX,APEX float. PLATFORM_TYPE_KEY = 001,1,FALSE,30:02.0,1
http://vocab.nerc.ac.uk/collection/R23/current/SOLO_D_MRV/,SDN:R23::SOLO_D_MRV,DEEPSOLO MRV float,SOLO_D_MRV,DEEPSOLO MRV float. PLATFORM_TYPE_KEY = 221,1,FALSE,30:02.0,221
http://vocab.nerc.ac.uk/collection/R23/current/NEMO/,SDN:R23::NEMO,NEMO float,NEMO,NEMO float. PLATFORM_TYPE_KEY = 400,1,FALSE,30:02.0,400
http://vocab.nerc.ac.uk/collection/R23/current/ARVOR_C/,SDN:R23::ARVOR_C,Coastal ARVOR float,ARVOR_C,Coastal ARVOR float. PLATFORM_TYPE_KEY = 110,1,FALSE,30:02.0,110
http://vocab.nerc.ac.uk/collection/R23/current/APEX_EM/,SDN:R23::APEX_EM,APEX electro-magnetic float,APEX_EM,"APEX electro-magnetic float, measuring velocity and mixing. PLATFORM_TYPE_KEY = 005",1,FALSE,30:02.0,5
